epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.7555,3.3652,4.13121,1.87095,0.59672,0.03393,0.01758,0.00592,2.2335,3.46968,1.07247,0.00011432,0.00011432,0.00011432
2,170.431,2.09598,2.39423,1.13365,0.38954,0.34064,0.289,0.15021,1.97408,8.83283,0.98531,0.00021888,0.00021888,0.00021888
3,237.994,1.83445,1.5765,1.02895,0.48579,0.43418,0.38941,0.19864,2.07822,2.1697,1.00117,0.000297975,0.000297975,0.000297975
4,315.043,1.77478,1.32598,0.9971,0.50492,0.49142,0.49749,0.24681,2.0204,1.66614,0.99625,0.000351605,0.000351605,0.000351605
