epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.1852,2.24245,2.39978,1.3426,0.47148,0.3317,0.33775,0.19202,1.96385,2.52597,1.00817,0.00011432,0.00011432,0.00011432
2,175.09,1.79422,1.44911,1.0291,0.39422,0.4516,0.37271,0.17084,1.90739,2.65556,0.96117,0.00021888,0.00021888,0.00021888
3,247.745,1.69655,1.25376,0.98974,0.50463,0.41553,0.37266,0.17992,2.06175,2.25063,0.98123,0.000297975,0.000297975,0.000297975
4,314.772,1.68297,1.19305,0.98015,0.55234,0.43636,0.43475,0.2267,1.90302,1.758,0.96239,0.000351605,0.000351605,0.000351605
5,379.34,1.6504,1.12849,0.97085,0.56363,0.50794,0.50306,0.27481,1.70307,1.62639,0.93777,0.000379771,0.000379771,0.000379771
6,471.923,1.60678,1.06232,0.95471,0.69188,0.59462,0.64417,0.3583,1.61449,1.20474,0.92184,0.000382472,0.000382472,0.000382472
7,542.562,1.58875,1.02053,0.95236,0.66923,0.58393,0.61158,0.33876,1.68213,1.33259,0.92944,0.000359708,0.000359708,0.000359708
8,615.775,1.5614,0.99552,0.94577,0.68903,0.60506,0.6434,0.37344,1.65752,1.16127,0.93136,0.000311479,0.000311479,0.000311479
9,681.475,1.49631,0.9354,0.93275,0.70068,0.56349,0.62556,0.36277,1.58591,1.28258,0.91886,0.000237786,0.000237786,0.000237786
10,749.256,1.46471,0.9287,0.92801,0.76827,0.61874,0.68188,0.39984,1.51883,1.04585,0.91056,0.000138627,0.000138627,0.000138627
